trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,
97,0.5,1,197.1368463,197.6370071,197.6370071,197.6370071,197.9368048,right,1,1,1,0.6517257,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
98,0.5,1,198.3202844,198.8202371,198.8202371,198.8202371,199.12016,left,-1,0,0,1.1244541,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
99,0.5,1.5,199.9705065,200.4701216,200.4701216,200.4701216,200.7703167,right,1.5,1,1,0.6366914,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
100,0.5,1.5,201.1368995,201.63686,201.63686,201.63686,201.936868,left,-1.5,1,1,0.78402,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
101,0.5,1,202.4375499,202.9370441,202.9370441,202.9370441,203.2369684,right,1,1,1,0.7958625,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
102,0.5,1,203.7534935,204.2536471,204.2536471,204.2536471,204.5538021,left,-1,1,1,0.6213356,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
103,0.5,1,204.9034776,205.3868812,205.3868812,205.4036579,205.6872025,right,1,1,1,1.2005619,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
104,0.5,1,206.6037466,207.1037344,207.1037344,207.1037344,207.4036631,right,1,1,1,1.188752,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
105,0.5,1,208.3201471,208.8037502,208.8037502,208.8208867,209.103848,left,-1,1,1,1.2163969,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
106,0.5,1,210.0369834,210.537191,210.537191,210.537191,210.8375517,right,1,1,1,15.0921808,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
107,0.5,1,225.653998,226.1538581,226.1538581,226.1538581,226.4537405,left,-1,1,1,0.7623118,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
108,0.5,1,226.9370453,227.4204112,227.4204112,227.437203,227.7206743,right,1,0,0,3.9233359,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
109,0.5,1.5,231.3707206,231.8539376,231.8539376,231.8705546,232.1537266,left,-1.5,1,1,0.5882163,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
110,0.5,1.5,232.4703224,232.953698,232.953698,232.9705457,233.2539901,right,1.5,1,1,0.6448732,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
111,0.5,1,233.6202505,234.1038409,234.1038409,234.1206124,234.4040566,right,1,1,1,0.6542137,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
112,0.5,1,234.7874919,235.270618,235.270618,235.2874266,235.5711451,right,1,1,1,0.5717167,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
113,0.5,1,235.8703002,236.3541003,236.3541003,236.3705944,236.6540933,left,-1,1,1,0.45255,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
114,0.5,1,236.8371587,237.3205444,237.3205444,237.337459,237.6205521,left,-1,1,1,0.5082489,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
115,0.5,1,237.8538181,238.3537021,238.3537021,238.3537021,238.6536719,right,1,0,0,1.60227,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
116,0.5,1.5,239.9872546,240.4873207,240.4873207,240.4873207,240.7873951,left,-1.5,1,1,0.6217396,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
117,0.5,1.5,241.1369901,241.6370868,241.6370868,241.6370868,241.937103,right,1.5,1,1,0.5345651,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
118,0.5,1,242.2039997,242.6872787,242.6872787,242.7037544,242.9871605,right,1,1,1,0.6145569,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
119,0.5,1,243.3203543,243.8205045,243.8205045,243.8205045,244.1207943,left,-1,1,1,0.6595886,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
120,0.5,1,244.5041191,244.9872395,244.9872395,245.0039291,245.2871424,right,1,1,1,0.8073127,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
121,0.5,1,245.8205925,246.3206549,246.3206549,246.3206549,246.6203698,left,-1,1,1,0.766331,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
122,0.5,1,247.1036363,247.587441,247.587441,247.6039153,247.8870681,right,1,1,1,1.32559,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
123,0.5,1,248.9371188,249.4371169,249.4371169,249.4371169,249.737286,left,-1,1,1,2.6629009,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
124,0.5,1,252.1204896,252.6085278,252.6085278,252.6241572,252.9208621,right,1,1,1,1.9677319,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
125,0.5,1,254.6038526,255.0874162,255.0874162,255.1040177,255.3870858,left,-1,1,1,0.6007401,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
126,0.5,1,255.7203293,256.2039701,256.2039701,256.2206239,256.5038855,right,1,1,1,1.2789516,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
127,0.5,1,257.5039277,257.9872851,257.9872851,258.0037696,258.2872816,right,1,1,1,0.8261173,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
128,0.5,1,258.8371379,259.3206258,259.3206258,259.3375039,259.6210229,right,1,1,1,0.5123621,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
129,0.5,1,259.8537966,260.3539874,260.3539874,260.3539874,260.6539396,right,1,1,1,0.5690878,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
130,0.5,1,260.9539292,261.4390913,261.4390913,261.4560868,261.7381792,left,-1,1,1,0.6518325,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
131,0.5,1,262.1235797,262.620654,262.620654,262.6372324,262.9208341,left,-1,1,1,0.5439932,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
132,0.5,1,263.1871802,263.6871821,263.6871821,263.6871821,263.9873105,left,-1,1,1,0.5706407,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
133,0.5,1,264.2873354,264.7707879,264.7707879,264.787169,265.0704364,left,-1,1,1,0.5379408,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
134,0.5,1,265.3374107,265.8208813,265.8208813,265.8374484,266.1206268,left,-1,1,1,0.4650854,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
135,0.5,1,266.3039092,266.8041625,266.8041625,266.8041625,267.1039807,left,-1,1,1,0.5840121,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
136,0.5,1,267.4039843,267.9038674,267.9038674,267.9038674,268.204683,left,-1,1,1,0.5726936,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
137,0.5,1,268.5039341,268.987396,268.987396,269.0041248,269.2873291,left,-1,1,1,0.5325568,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
138,0.5,1,269.5371593,270.0374795,270.0374795,270.0374795,270.3372389,left,-1,1,1,0.5950482,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
139,0.5,1,270.6540253,271.1541146,271.1541146,271.1541146,271.4540022,right,1,1,1,0.9723718,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
140,0.5,1,272.1541573,272.6372901,272.6372901,272.6539983,272.9372269,right,1,1,1,0.8502197,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
141,0.5,1,273.520663,274.020722,274.020722,274.020722,274.3207695,right,1,1,1,0.4900805,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
